data_asin,title,price,original_price,rating,link
B0BNBS2ZW8,"Dpofirs RX580 8GB Graphics Card, PC Video Graphics Card GDDR5 256bit 4096x2160 with 2 Cooling Fans, HD Multimedia Interface and DP Interface Gaming Graphics Card for Computer","18,039","36,199",1,https://www.amazon.in/Dpofirs-Graphics-4096x2160-Multimedia-Interface/dp/B0BNBS2ZW8/ref=sr_1_243?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-243
B0C6BWNW5M,Asus DUAL-RTX3060-8G Dual Rtx3060 8g,No price,No ORIGINAL PRICE,No Rating,https://www.amazon.in/Asus-DUAL-RTX3060-8G-Dual-Rtx3060-8g/dp/B0C6BWNW5M/ref=sr_1_244?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-244
B0B997964K,"Dpofirs GTX 1050 Ti Graphics Card, 4GB GDDR5 128bit PC Video Graphics Card Original with with Two Powerful Fans, PCI Express 3.0 x 16 Interface Gaming Graphics Card for Computer","25,139","50,399",No Rating,https://www.amazon.in/Graphics-Original-Powerful-Interface-Computer/dp/B0B997964K/ref=sr_1_245?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-245
B096T9JCNG,"Thermaltake TT Premium PCI-E 4.0 High Speed Flexible Extender Riser Cable 300mm AC-058-CO1OTN-C1,Black","12,499","17,500",122,https://www.amazon.in/Thermaltake-Premium-Flexible-Extender-AC-058-CO1OTN-C1/dp/B096T9JCNG/ref=sr_1_246?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-246
B0C549QSFD,"RX 580 Graphics Card, 256 Bit 8GB GDDR5 Memory, 1284MHz Core Frequency, 16xPCI Express 3.0, with 2 Cooling Fans, 3xDP DVI Gaming PC Graphics Card","23,449","46,899",No Rating,https://www.amazon.in/Graphics-1284MHz-Frequency-Express-Cooling/dp/B0C549QSFD/ref=sr_1_247?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-247
B0BJXRP4TZ,"Dpofirs GTX1650 Graphics Card, 4GB GDRR5 HDMI 128 Bit Gaming Card with PCI E 3.0, DVI, DP, Dual Heat Dissipation Fans, Gaming Video Card for Working, Video Editing","33,149","66,399",No Rating,https://www.amazon.in/GTX1650-Graphics-Dissipation-Working-Editing/dp/B0BJXRP4TZ/ref=sr_1_248?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-248
B0BZLVPNJG,"Dpofirs GTX550Ti Graphics Card, 192SP, 8GB GDDR5 128bit, PC Gaming Video Card, HDMI VGA DVI, Support DirectX11, Dual Fan Cooling, Support 3D Display","16,709","33,399",No Rating,https://www.amazon.in/Dpofirs-GTX550Ti-Graphics-Support-DirectX11/dp/B0BZLVPNJG/ref=sr_1_249?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-249
B08WRQ3JR1,"PNY VDCRD,RTX3060,12GB,DUALFAN,XLR8,RGB,PB","47,388","85,343",200,https://www.amazon.in/PNY-GeForce-RTX-3060-Graphics/dp/B08WRQ3JR1/ref=sr_1_250?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-250
B0CK11CX5R,"SRhonyra Radeon RX 590 8GB GDDR5 Graphics Card for Gaming PC Video Card 2304SP 256-Bit PCIe 3.0 x16 6-Pin Connector 2 Cooling Fan Desktop Computer Gaming GPU with HDMI, DisplayPort & DVI Ports","16,458.00","26,334",11,https://www.amazon.in/SRhonyra-Graphics-Connector-Computer-DisplayPort/dp/B0CK11CX5R/ref=sr_1_251?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-251
B0CFT7QV2P,"ASUS TUF Gaming RX 7800 XT White OC Edition 16GB GDDR6 (PCIe 4.0, 12GB GDDR6, HDMI 2.1, DisplayPort 2.1)","64,818","1,10,400",1,https://www.amazon.in/ASUS-Gaming-White-GDDR6-DisplayPort/dp/B0CFT7QV2P/ref=sr_1_252?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-252
B01M6ZANMP,Gigabyte G1 Gaming GV-N105TD5-4GD 4 GB GDDR5 pci_e Graphics Card (Black),"25,996","34,999",967,https://www.amazon.in/Gigabyte-Gaming-GV-N105TD5-4GD-GDDR5-Graphics/dp/B01M6ZANMP/ref=sr_1_253?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-253
B08MDCF8Z8,"GIGABYTE Nvidia GeForce RTX 3070 Eagle 8GB GDDR6 Graphics Card (GV-N3070EAGLE-8GD, Graphics Card Interface: pci_e_x16)","1,39,999","1,67,999",7,https://www.amazon.in/Gigabyte-Nvidia-GeForce-Graphics-GV-N3070EAGLE-8GD/dp/B08MDCF8Z8/ref=sr_1_254?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-254
B0BRB9FVFW,Deal4GO GDL55 RJ45 LAN Board Audio I/O Daughterboard 5N52P 05N52P 58MDX 058MDX w/ Cable Replacement for Dell G15 5510 5511 (with GPU RTX 3060),No price,No ORIGINAL PRICE,No Rating,https://www.amazon.in/Deal4GO-Daughterboard-05N52P-058MDX-Replacement/dp/B0BRB9FVFW/ref=sr_1_255?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-255
B0CB67Y7QP,"EXCLUZO GTX650 Graphics Card, 2GB GDDR5 Gaming Graphics Card GPU with HDMI VGA and DVI Interfaces, PCI Express x16 3.0, for DirectX 12, 384 Stream Processor Unit","18,952","37,904",No Rating,https://www.amazon.in/EXCLUZO-Graphics-Interfaces-Express-Processor/dp/B0CB67Y7QP/ref=sr_1_256?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.H8ahhf8_Lrgo1cS5ZfsTq7M5duA1nhmu45Rr714WFpdCDTHUtESdkstmRybxy8_hkJ3MJWwKHHPbp_ozS24-XTJ_yv_Sn97hcUi73uttko2yKaSo8qQG6ml-qy1X8AhVp3r4zh8usuZqHGq11xMpq5waXfBSf8NtMR-69eIXgUHAiAST1ijaOZgUPH3KvGgziNdZDNplDLMapJ9nGMfJAN-qZ-npv85d31FaHGhAHb4.cG-Tnngwwd6Q-eCqTtemTr65ApThf_sAO3cVFXgcBWg&dib_tag=se&keywords=rtx+3060&qid=1717861727&sprefix=rtx%2Caps%2C280&sr=8-256
B0B76CFY5J,"GPU Support Bracket, Adjustable Height Graphics Card Support Desktop Computer PC Telescopic Graphics Card Bracket GPU Brace Video Card Anti Sag GPU Holder Stand for Prevent Universal Graphics Card","2,131",No ORIGINAL PRICE,217,https://www.amazon.in/Adjustable-Graphics-Computer-Telescopic-Universal/dp/B0B76CFY5J/ref=sr_1_257?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.RPHxSWiCpaiu3j4LuKXLLT0ZN8NDm50eYJkk6sBoIOALHA6mB2fNwo6hfjYHKBb2dGHrOWHX2OpxzZrsfLOgk5sfmMsK9uHpkmOa2BL_8gl00IbPbsdNotz4n-7mWEu3n5nyx-atCr-X7SidN3WGzG9EmPwpFj6eDcnNqMkfLZYn_B-kMI-Mb6dkt86b0rBXzeoI4dc6GY9z7x6cClgYmbJd2EjNuhVBBeEsAC1B9r8.GNmKh-w9pm6ZNowvmbnSH7xgpOQN7TFEBR2I_NVLbYY&dib_tag=se&keywords=rtx+3060&qid=1717861736&sprefix=rtx%2Caps%2C280&sr=8-257
B08W54BK89,Lian Li STRIMER+ TRIPLE 8-PIN GPU RTX 30 Series Extension Cable ( Only Compatible with GPU RTX 30 Series ),"20,048","28,639",396,https://www.amazon.in/STRIMER-Triple-Addressable-Power-Cable/dp/B08W54BK89/ref=sr_1_258?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.RPHxSWiCpaiu3j4LuKXLLT0ZN8NDm50eYJkk6sBoIOALHA6mB2fNwo6hfjYHKBb2dGHrOWHX2OpxzZrsfLOgk5sfmMsK9uHpkmOa2BL_8gl00IbPbsdNotz4n-7mWEu3n5nyx-atCr-X7SidN3WGzG9EmPwpFj6eDcnNqMkfLZYn_B-kMI-Mb6dkt86b0rBXzeoI4dc6GY9z7x6cClgYmbJd2EjNuhVBBeEsAC1B9r8.GNmKh-w9pm6ZNowvmbnSH7xgpOQN7TFEBR2I_NVLbYY&dib_tag=se&keywords=rtx+3060&qid=1717861736&sprefix=rtx%2Caps%2C280&sr=8-258
